1	Offszet hiba	0	0
2	Fóliatovábbítási hiba	0	0
3	Billegés	0	0
4	Alkatrészfedél hiba	0	0
5	Léptetési hiba	0	0
6	Vezérlési hiba	0	0
7	Csatlakozó hiba	0	0
8	Kábelhiba	0	0
9	Egyéb mechanikus hiba	0	0
10	Egyéb elektromos hiba	0	0
11	Offszet hiba	0	1
12	Fóliatovábbítási hiba	0	1
13	Billegés	0	1
14	Alkatrészfedél hiba	0	1
15	Léptetési hiba	0	1
16	Vezérlési hiba	0	1
17	Csatlakozó hiba	0	1
18	Kábelhiba	0	1
19	Egyéb mechanikus hiba	0	1
20	Egyéb elektromos hiba	0	1
